Province_State,Date,Confirmed,Deaths,Month,Day,Year
Alabama,06-07-2020,20777,692,06,07,2020
Alaska,06-07-2020,556,10,06,07,2020
American Samoa,06-07-2020,0,0,06,07,2020
Arizona,06-07-2020,26989,1051,06,07,2020
Arkansas,06-07-2020,9426,154,06,07,2020
California,06-07-2020,132445,4570,06,07,2020
Colorado,06-07-2020,30190,1653,06,07,2020
Connecticut,06-07-2020,43968,4071,06,07,2020
Delaware,06-07-2020,9942,524,06,07,2020
Diamond Princess,06-07-2020,49,0,06,07,2020
District of Columbia,06-07-2020,9332,489,06,07,2020
Florida,06-07-2020,63938,2700,06,07,2020
Georgia,06-07-2020,51898,2180,06,07,2020
Grand Princess,06-07-2020,103,3,06,07,2020
Guam,06-07-2020,179,5,06,07,2020
Hawaii,06-07-2020,675,17,06,07,2020
Idaho,06-07-2020,3139,83,06,07,2020
Illinois,06-07-2020,127757,5904,06,07,2020
Indiana,06-07-2020,37397,2248,06,07,2020
Iowa,06-07-2020,21712,605,06,07,2020
Kansas,06-07-2020,10406,233,06,07,2020
Kentucky,06-07-2020,11287,470,06,07,2020
Louisiana,06-07-2020,42816,2936,06,07,2020
Maine,06-07-2020,2570,99,06,07,2020
Maryland,06-07-2020,57973,2749,06,07,2020
Massachusetts,06-07-2020,103436,7316,06,07,2020
Michigan,06-07-2020,64648,5898,06,07,2020
Minnesota,06-07-2020,27886,1197,06,07,2020
Mississippi,06-07-2020,17270,817,06,07,2020
Missouri,06-07-2020,15023,823,06,07,2020
Montana,06-07-2020,545,18,06,07,2020
Nebraska,06-07-2020,15664,187,06,07,2020
Nevada,06-07-2020,9669,438,06,07,2020
New Hampshire,06-07-2020,5043,286,06,07,2020
New Jersey,06-07-2020,164593,12176,06,07,2020
New Mexico,06-07-2020,8940,396,06,07,2020
New York,06-07-2020,378097,30219,06,07,2020
North Carolina,06-07-2020,35625,1032,06,07,2020
North Dakota,06-07-2020,2882,72,06,07,2020
Northern Mariana Islands,06-07-2020,27,19,06,07,2020
Ohio,06-07-2020,38476,2287,06,07,2020
Oklahoma,06-07-2020,7150,348,06,07,2020
Oregon,06-07-2020,4662,163,06,07,2020
Pennsylvania,06-07-2020,79314,5953,06,07,2020
Puerto Rico,06-07-2020,4985,142,06,07,2020
Rhode Island,06-07-2020,15441,886,06,07,2020
South Carolina,06-07-2020,14286,546,06,07,2020
South Dakota,06-07-2020,5438,65,06,07,2020
Tennessee,06-07-2020,26505,418,06,07,2020
Texas,06-07-2020,70049,1937,06,07,2020
Utah,06-07-2020,12066,121,06,07,2020
Vermont,06-07-2020,1063,55,06,07,2020
Virgin Islands,06-07-2020,71,6,06,07,2020
Virginia,06-07-2020,50681,1472,06,07,2020
Washington,06-07-2020,24078,1170,06,07,2020
West Virginia,06-07-2020,2144,84,06,07,2020
Wisconsin,06-07-2020,20835,647,06,07,2020
Wyoming,06-07-2020,947,17,06,07,2020
Alabama,06-06-2020,20355,689,06,06,2020
Alaska,06-06-2020,548,10,06,06,2020
American Samoa,06-06-2020,0,0,06,06,2020
Arizona,06-06-2020,25451,1043,06,06,2020
Arkansas,06-06-2020,9101,154,06,06,2020
California,06-06-2020,129910,4545,06,06,2020
Colorado,06-06-2020,30055,1649,06,06,2020
Connecticut,06-06-2020,43818,4055,06,06,2020
Delaware,06-06-2020,9845,521,06,06,2020
Diamond Princess,06-06-2020,49,0,06,06,2020
District of Columbia,06-06-2020,9269,483,06,06,2020
Florida,06-06-2020,62758,2688,06,06,2020
Georgia,06-06-2020,51359,2178,06,06,2020
Grand Princess,06-06-2020,103,3,06,06,2020
Guam,06-06-2020,179,5,06,06,2020
Hawaii,06-06-2020,673,17,06,06,2020
Idaho,06-06-2020,3139,83,06,06,2020
Illinois,06-06-2020,126890,5864,06,06,2020
Indiana,06-06-2020,36997,2233,06,06,2020
Iowa,06-06-2020,21478,599,06,06,2020
Kansas,06-06-2020,10361,233,06,06,2020
Kentucky,06-06-2020,11287,470,06,06,2020
Louisiana,06-06-2020,42486,2925,06,06,2020
Maine,06-06-2020,2524,98,06,06,2020
Maryland,06-06-2020,57482,2740,06,06,2020
Massachusetts,06-06-2020,103132,7289,06,06,2020
Michigan,06-06-2020,64229,5894,06,06,2020
Minnesota,06-06-2020,27501,1181,06,06,2020
Mississippi,06-06-2020,17039,811,06,06,2020
Missouri,06-06-2020,14948,823,06,06,2020
Montana,06-06-2020,540,18,06,06,2020
Nebraska,06-06-2020,15572,187,06,06,2020
Nevada,06-06-2020,9491,437,06,06,2020
New Hampshire,06-06-2020,5019,283,06,06,2020
New Jersey,06-06-2020,164314,12106,06,06,2020
New Mexico,06-06-2020,8800,392,06,06,2020
New York,06-06-2020,377316,30127,06,06,2020
North Carolina,06-06-2020,34718,1028,06,06,2020
North Dakota,06-06-2020,2863,72,06,06,2020
Northern Mariana Islands,06-06-2020,26,17,06,06,2020
Ohio,06-06-2020,38111,2276,06,06,2020
Oklahoma,06-06-2020,7059,347,06,06,2020
Oregon,06-06-2020,4570,161,06,06,2020
Pennsylvania,06-06-2020,78885,5940,06,06,2020
Puerto Rico,06-06-2020,4915,142,06,06,2020
Rhode Island,06-06-2020,15441,882,06,06,2020
South Carolina,06-06-2020,13453,539,06,06,2020
South Dakota,06-06-2020,5367,65,06,06,2020
Tennessee,06-06-2020,26079,417,06,06,2020
Texas,06-06-2020,69674,1927,06,06,2020
Utah,06-06-2020,11798,121,06,06,2020
Vermont,06-06-2020,1046,55,06,06,2020
Virgin Islands,06-06-2020,71,6,06,06,2020
Virginia,06-06-2020,49397,1461,06,06,2020
Washington,06-06-2020,23767,1159,06,06,2020
West Virginia,06-06-2020,2136,84,06,06,2020
Wisconsin,06-06-2020,20571,645,06,06,2020
Wyoming,06-06-2020,939,17,06,06,2020
Alabama,10-01-2020,155727,2548,10,01,2020
Alaska,10-01-2020,7996,58,10,01,2020
American Samoa,10-01-2020,0,0,10,01,2020
Arizona,10-01-2020,219212,5674,10,01,2020
Arkansas,10-01-2020,84821,1384,10,01,2020
California,10-01-2020,824977,15918,10,01,2020
Colorado,10-01-2020,77513,2099,10,01,2020
Connecticut,10-01-2020,57742,4511,10,01,2020
Delaware,10-01-2020,20787,654,10,01,2020
Diamond Princess,10-01-2020,49,0,10,01,2020
District of Columbia,10-01-2020,15358,628,10,01,2020
Florida,10-01-2020,709144,14444,10,01,2020
Georgia,10-01-2020,319359,7063,10,01,2020
Grand Princess,10-01-2020,103,3,10,01,2020
Guam,10-01-2020,2488,49,10,01,2020
Hawaii,10-01-2020,12515,139,10,01,2020
Idaho,10-01-2020,42561,472,10,01,2020
Illinois,10-01-2020,297884,8940,10,01,2020
Indiana,10-01-2020,121176,3663,10,01,2020
Iowa,10-01-2020,90428,1366,10,01,2020
Kansas,10-01-2020,62292,680,10,01,2020
Kentucky,10-01-2020,69728,1191,10,01,2020
Louisiana,10-01-2020,166584,5519,10,01,2020
Maine,10-01-2020,5428,141,10,01,2020
Maryland,10-01-2020,125510,3949,10,01,2020
Massachusetts,10-01-2020,132870,8453,10,01,2020
Michigan,10-01-2020,139012,7102,10,01,2020
Minnesota,10-01-2020,100200,2102,10,01,2020
Mississippi,10-01-2020,98886,2979,10,01,2020
Missouri,10-01-2020,130729,2103,10,01,2020
Montana,10-01-2020,13500,181,10,01,2020
Nebraska,10-01-2020,46185,493,10,01,2020
Nevada,10-01-2020,80410,1603,10,01,2020
New Hampshire,10-01-2020,8317,441,10,01,2020
New Jersey,10-01-2020,211378,16140,10,01,2020
New Mexico,10-01-2020,29661,882,10,01,2020
New York,10-01-2020,462861,33166,10,01,2020
North Carolina,10-01-2020,212898,3579,10,01,2020
North Dakota,10-01-2020,22612,256,10,01,2020
Northern Mariana Islands,10-01-2020,73,2,10,01,2020
Ohio,10-01-2020,155314,4491,10,01,2020
Oklahoma,10-01-2020,88369,1035,10,01,2020
Oregon,10-01-2020,33862,560,10,01,2020
Pennsylvania,10-01-2020,164974,8148,10,01,2020
Puerto Rico,10-01-2020,49067,665,10,01,2020
Rhode Island,10-01-2020,24914,1127,10,01,2020
South Carolina,10-01-2020,148323,3400,10,01,2020
South Dakota,10-01-2020,23136,236,10,01,2020
Tennessee,10-01-2020,195606,2501,10,01,2020
Texas,10-01-2020,788955,16412,10,01,2020
Utah,10-01-2020,74050,459,10,01,2020
Vermont,10-01-2020,1755,58,10,01,2020
Virgin Islands,10-01-2020,1326,20,10,01,2020
Virginia,10-01-2020,148721,3228,10,01,2020
Washington,10-01-2020,90179,2110,10,01,2020
West Virginia,10-01-2020,16026,359,10,01,2020
Wisconsin,10-01-2020,125161,1348,10,01,2020
Wyoming,10-01-2020,6083,53,10,01,2020
Alabama,09-22-2020,145859,2457,09,22,2020
Alaska,09-22-2020,6982,45,09,22,2020
American Samoa,09-22-2020,0,0,09,22,2020
Arizona,09-22-2020,214846,5498,09,22,2020
Arkansas,09-22-2020,76981,1209,09,22,2020
California,09-22-2020,794466,15078,09,22,2020
Colorado,09-22-2020,71544,2053,09,22,2020
Connecticut,09-22-2020,56160,4496,09,22,2020
Delaware,09-22-2020,19761,638,09,22,2020
Diamond Princess,09-22-2020,49,0,09,22,2020
District of Columbia,09-22-2020,15021,621,09,22,2020
Florida,09-22-2020,687909,13416,09,22,2020
Georgia,09-22-2020,308294,6673,09,22,2020
Grand Princess,09-22-2020,103,3,09,22,2020
Guam,09-22-2020,2190,37,09,22,2020
Hawaii,09-22-2020,11522,120,09,22,2020
Idaho,09-22-2020,38347,451,09,22,2020
Illinois,09-22-2020,279453,8722,09,22,2020
Indiana,09-22-2020,112626,3514,09,22,2020
Iowa,09-22-2020,81618,1293,09,22,2020
Kansas,09-22-2020,56186,615,09,22,2020
Kentucky,09-22-2020,62731,1119,09,22,2020
Louisiana,09-22-2020,162214,5388,09,22,2020
Maine,09-22-2020,5146,140,09,22,2020
Maryland,09-22-2020,120912,3895,09,22,2020
Massachusetts,09-22-2020,127969,8416,09,22,2020
Michigan,09-22-2020,130357,6997,09,22,2020
Minnesota,09-22-2020,91422,2031,09,22,2020
Mississippi,09-22-2020,94021,2846,09,22,2020
Missouri,09-22-2020,119776,1896,09,22,2020
Montana,09-22-2020,10700,163,09,22,2020
Nebraska,09-22-2020,41785,461,09,22,2020
Nevada,09-22-2020,76298,1546,09,22,2020
New Hampshire,09-22-2020,7990,438,09,22,2020
New Jersey,09-22-2020,205279,16076,09,22,2020
New Mexico,09-22-2020,27790,854,09,22,2020
New York,09-22-2020,453730,33097,09,22,2020
North Carolina,09-22-2020,195548,3286,09,22,2020
North Dakota,09-22-2020,18927,196,09,22,2020
Northern Mariana Islands,09-22-2020,69,2,09,22,2020
Ohio,09-22-2020,145850,4320,09,22,2020
Oklahoma,09-22-2020,79072,962,09,22,2020
Oregon,09-22-2020,31313,532,09,22,2020
Pennsylvania,09-22-2020,156419,8007,09,22,2020
Puerto Rico,09-22-2020,42596,613,09,22,2020
Rhode Island,09-22-2020,24044,1118,09,22,2020
South Carolina,09-22-2020,140789,3243,09,22,2020
South Dakota,09-22-2020,19189,202,09,22,2020
Tennessee,09-22-2020,184069,2261,09,22,2020
Texas,09-22-2020,752803,15548,09,22,2020
Utah,09-22-2020,65044,443,09,22,2020
Vermont,09-22-2020,1721,58,09,22,2020
Virgin Islands,09-22-2020,1278,19,09,22,2020
Virginia,09-22-2020,142010,3060,09,22,2020
Washington,09-22-2020,84814,2051,09,22,2020
West Virginia,09-22-2020,14394,320,09,22,2020
Wisconsin,09-22-2020,104170,1251,09,22,2020
Wyoming,09-22-2020,5016,49,09,22,2020
Alabama,09-23-2020,146897,2488,09,23,2020
Alaska,09-23-2020,7050,45,09,23,2020
American Samoa,09-23-2020,0,0,09,23,2020
Arizona,09-23-2020,215284,5525,09,23,2020
Arkansas,09-23-2020,77963,1229,09,23,2020
California,09-23-2020,797833,15193,09,23,2020
Colorado,09-23-2020,72259,2062,09,23,2020
Connecticut,09-23-2020,56315,4497,09,23,2020
Delaware,09-23-2020,19830,640,09,23,2020
Diamond Princess,09-23-2020,49,0,09,23,2020
District of Columbia,09-23-2020,15050,621,09,23,2020
Florida,09-23-2020,690499,13618,09,23,2020
Georgia,09-23-2020,310161,6769,09,23,2020
Grand Princess,09-23-2020,103,3,09,23,2020
Guam,09-23-2020,2235,37,09,23,2020
Hawaii,09-23-2020,11689,122,09,23,2020
Idaho,09-23-2020,38743,454,09,23,2020
Illinois,09-23-2020,281303,8744,09,23,2020
Indiana,09-23-2020,113337,3531,09,23,2020
Iowa,09-23-2020,82871,1298,09,23,2020
Kansas,09-23-2020,56546,622,09,23,2020
Kentucky,09-23-2020,63515,1124,09,23,2020
Louisiana,09-23-2020,162645,5407,09,23,2020
Maine,09-23-2020,5170,140,09,23,2020
Maryland,09-23-2020,121297,3902,09,23,2020
Massachusetts,09-23-2020,128512,8419,09,23,2020
Michigan,09-23-2020,131259,7013,09,23,2020
Minnesota,09-23-2020,92100,2037,09,23,2020
Mississippi,09-23-2020,94573,2870,09,23,2020
Missouri,09-23-2020,121418,1967,09,23,2020
Montana,09-23-2020,10912,165,09,23,2020
Nebraska,09-23-2020,42278,462,09,23,2020
Nevada,09-23-2020,76807,1556,09,23,2020
New Hampshire,09-23-2020,8007,438,09,23,2020
New Jersey,09-23-2020,205771,16082,09,23,2020
New Mexico,09-23-2020,27987,857,09,23,2020
New York,09-23-2020,454299,33098,09,23,2020
North Carolina,09-23-2020,196500,3316,09,23,2020
North Dakota,09-23-2020,19393,203,09,23,2020
Northern Mariana Islands,09-23-2020,69,2,09,23,2020
Ohio,09-23-2020,146753,4342,09,23,2020
Oklahoma,09-23-2020,80161,970,09,23,2020
Oregon,09-23-2020,31503,538,09,23,2020
Pennsylvania,09-23-2020,157209,8042,09,23,2020
Puerto Rico,09-23-2020,42660,617,09,23,2020
Rhode Island,09-23-2020,24177,1118,09,23,2020
South Carolina,09-23-2020,141686,3262,09,23,2020
South Dakota,09-23-2020,19634,202,09,23,2020
Tennessee,09-23-2020,184983,2275,09,23,2020
Texas,09-23-2020,757598,15670,09,23,2020
Utah,09-23-2020,65921,444,09,23,2020
Vermont,09-23-2020,1722,58,09,23,2020
Virgin Islands,09-23-2020,1290,19,09,23,2020
Virginia,09-23-2020,142590,3089,09,23,2020
Washington,09-23-2020,85397,2057,09,23,2020
West Virginia,09-23-2020,14515,322,09,23,2020
Wisconsin,09-23-2020,105932,1259,09,23,2020
Wyoming,09-23-2020,5169,50,09,23,2020
Alabama,08-20-2020,112737,1974,08,20,2020
Alaska,08-20-2020,4570,29,08,20,2020
American Samoa,08-20-2020,0,0,08,20,2020
Arizona,08-20-2020,196280,4684,08,20,2020
Arkansas,08-20-2020,54765,641,08,20,2020
California,08-20-2020,656276,11648,08,20,2020
Colorado,08-20-2020,57790,1919,08,20,2020
Connecticut,08-20-2020,51432,4458,08,20,2020
Delaware,08-20-2020,16718,611,08,20,2020
Diamond Princess,08-20-2020,49,0,08,20,2020
District of Columbia,08-20-2020,13409,601,08,20,2020
Florida,08-20-2020,588602,10049,08,20,2020
Georgia,08-20-2020,246741,4904,08,20,2020
Grand Princess,08-20-2020,103,3,08,20,2020
Guam,08-20-2020,704,6,08,20,2020
Hawaii,08-20-2020,5844,45,08,20,2020
Idaho,08-20-2020,29110,296,08,20,2020
Illinois,08-20-2020,215052,8044,08,20,2020
Indiana,08-20-2020,83277,3141,08,20,2020
Iowa,08-20-2020,54533,1016,08,20,2020
Kansas,08-20-2020,35890,419,08,20,2020
Kentucky,08-20-2020,41626,856,08,20,2020
Louisiana,08-20-2020,140821,4637,08,20,2020
Maine,08-20-2020,4253,128,08,20,2020
Maryland,08-20-2020,102229,3669,08,20,2020
Massachusetts,08-20-2020,124728,8285,08,20,2020
Michigan,08-20-2020,104618,6634,08,20,2020
Minnesota,08-20-2020,67308,1791,08,20,2020
Mississippi,08-20-2020,75449,2190,08,20,2020
Missouri,08-20-2020,73597,1463,08,20,2020
Montana,08-20-2020,6072,89,08,20,2020
Nebraska,08-20-2020,31348,373,08,20,2020
Nevada,08-20-2020,63584,1172,08,20,2020
New Hampshire,08-20-2020,7050,428,08,20,2020
New Jersey,08-20-2020,191624,15932,08,20,2020
New Mexico,08-20-2020,23951,734,08,20,2020
New York,08-20-2020,427803,32695,08,20,2020
North Carolina,08-20-2020,149904,2465,08,20,2020
North Dakota,08-20-2020,9458,130,08,20,2020
Northern Mariana Islands,08-20-2020,54,2,08,20,2020
Ohio,08-20-2020,112003,3645,08,20,2020
Oklahoma,08-20-2020,50669,709,08,20,2020
Oregon,08-20-2020,24165,412,08,20,2020
Pennsylvania,08-20-2020,131225,7527,08,20,2020
Puerto Rico,08-20-2020,28143,367,08,20,2020
Rhode Island,08-20-2020,20871,1062,08,20,2020
South Carolina,08-20-2020,109320,2401,08,20,2020
South Dakota,08-20-2020,10691,157,08,20,2020
Tennessee,08-20-2020,138258,1488,08,20,2020
Texas,08-20-2020,603035,11564,08,20,2020
Utah,08-20-2020,47982,381,08,20,2020
Vermont,08-20-2020,1537,58,08,20,2020
Virgin Islands,08-20-2020,869,10,08,20,2020
Virginia,08-20-2020,109879,2427,08,20,2020
Washington,08-20-2020,70180,1836,08,20,2020
West Virginia,08-20-2020,8987,167,08,20,2020
Wisconsin,08-20-2020,68233,1067,08,20,2020
Wyoming,08-20-2020,3457,34,08,20,2020
Alabama,08-21-2020,114212,1996,08,21,2020
Alaska,08-21-2020,4634,30,08,21,2020
American Samoa,08-21-2020,0,0,08,21,2020
Arizona,08-21-2020,196899,4688,08,21,2020
Arkansas,08-21-2020,55652,663,08,21,2020
California,08-21-2020,662858,11806,08,21,2020
Colorado,08-21-2020,58107,1925,08,21,2020
Connecticut,08-21-2020,51519,4460,08,21,2020
Delaware,08-21-2020,16770,612,08,21,2020
Diamond Princess,08-21-2020,49,0,08,21,2020
District of Columbia,08-21-2020,13469,602,08,21,2020
Florida,08-21-2020,593286,10168,08,21,2020
Georgia,08-21-2020,249630,4998,08,21,2020
Grand Princess,08-21-2020,103,3,08,21,2020
Guam,08-21-2020,767,6,08,21,2020
Hawaii,08-21-2020,6072,46,08,21,2020
Idaho,08-21-2020,29364,305,08,21,2020
Illinois,08-21-2020,217345,8066,08,21,2020
Indiana,08-21-2020,84317,3149,08,21,2020
Iowa,08-21-2020,55331,1029,08,21,2020
Kansas,08-21-2020,36884,426,08,21,2020
Kentucky,08-21-2020,42265,864,08,21,2020
Louisiana,08-21-2020,141720,4687,08,21,2020
Maine,08-21-2020,4286,129,08,21,2020
Maryland,08-21-2020,102899,3674,08,21,2020
Massachusetts,08-21-2020,125216,8289,08,21,2020
Michigan,08-21-2020,104618,6634,08,21,2020
Minnesota,08-21-2020,68133,1799,08,21,2020
Mississippi,08-21-2020,76323,2214,08,21,2020
Missouri,08-21-2020,74896,1466,08,21,2020
Montana,08-21-2020,6216,89,08,21,2020
Nebraska,08-21-2020,31626,376,08,21,2020
Nevada,08-21-2020,64433,1185,08,21,2020
New Hampshire,08-21-2020,7071,428,08,21,2020
New Jersey,08-21-2020,191955,15941,08,21,2020
New Mexico,08-21-2020,24095,739,08,21,2020
New York,08-21-2020,428512,32698,08,21,2020
North Carolina,08-21-2020,151910,2494,08,21,2020
North Dakota,08-21-2020,9714,132,08,21,2020
Northern Mariana Islands,08-21-2020,54,2,08,21,2020
Ohio,08-21-2020,113046,3675,08,21,2020
Oklahoma,08-21-2020,51746,715,08,21,2020
Oregon,08-21-2020,24421,414,08,21,2020
Pennsylvania,08-21-2020,131963,7544,08,21,2020
Puerto Rico,08-21-2020,28846,374,08,21,2020
Rhode Island,08-21-2020,21022,1064,08,21,2020
South Carolina,08-21-2020,110378,2459,08,21,2020
South Dakota,08-21-2020,10884,159,08,21,2020
Tennessee,08-21-2020,138783,1549,08,21,2020
Texas,08-21-2020,608659,11817,08,21,2020
Utah,08-21-2020,48445,383,08,21,2020
Vermont,08-21-2020,1541,58,08,21,2020
Virgin Islands,08-21-2020,932,10,08,21,2020
Virginia,08-21-2020,110857,2436,08,21,2020
Washington,08-21-2020,71007,1840,08,21,2020
West Virginia,08-21-2020,9077,171,08,21,2020
Wisconsin,08-21-2020,69059,1068,08,21,2020
Wyoming,08-21-2020,3524,37,08,21,2020
Alabama,11-03-2020,197504,2987,11,03,2020
Alaska,11-03-2020,17455,86,11,03,2020
American Samoa,11-03-2020,0,0,11,03,2020
Arizona,11-03-2020,249818,6020,11,03,2020
Arkansas,11-03-2020,114519,2003,11,03,2020
California,11-03-2020,954691,17740,11,03,2020
Colorado,11-03-2020,136839,2723,11,03,2020
Connecticut,11-03-2020,74843,4635,11,03,2020
Delaware,11-03-2020,25426,744,11,03,2020
Diamond Princess,11-03-2020,49,0,11,03,2020
District of Columbia,11-03-2020,17524,647,11,03,2020
Florida,11-03-2020,816700,16890,11,03,2020
Georgia,11-03-2020,394526,8479,11,03,2020
Grand Princess,11-03-2020,103,3,11,03,2020
Guam,11-03-2020,4812,80,11,03,2020
Hawaii,11-03-2020,15318,219,11,03,2020
Idaho,11-03-2020,67024,647,11,03,2020
Illinois,11-03-2020,436265,10161,11,03,2020
Indiana,11-03-2020,188066,4630,11,03,2020
Iowa,11-03-2020,134326,1780,11,03,2020
Kansas,11-03-2020,93286,1059,11,03,2020
Kentucky,11-03-2020,111379,1503,11,03,2020
Louisiana,11-03-2020,184769,5951,11,03,2020
Maine,11-03-2020,6925,148,11,03,2020
Maryland,11-03-2020,147766,4162,11,03,2020
Massachusetts,11-03-2020,161585,8696,11,03,2020
Michigan,11-03-2020,207763,7761,11,03,2020
Minnesota,11-03-2020,157096,2553,11,03,2020
Mississippi,11-03-2020,121509,3384,11,03,2020
Missouri,11-03-2020,201296,3095,11,03,2020
Montana,11-03-2020,35159,399,11,03,2020
Nebraska,11-03-2020,74060,660,11,03,2020
Nevada,11-03-2020,103025,1807,11,03,2020
New Hampshire,11-03-2020,11416,483,11,03,2020
New Jersey,11-03-2020,256657,16371,11,03,2020
New Mexico,11-03-2020,49240,1045,11,03,2020
New York,11-03-2020,517822,33603,11,03,2020
North Carolina,11-03-2020,280377,4457,11,03,2020
North Dakota,11-03-2020,48602,555,11,03,2020
Northern Mariana Islands,11-03-2020,96,2,11,03,2020
Ohio,11-03-2020,226138,5479,11,03,2020
Oklahoma,11-03-2020,126526,1375,11,03,2020
Oregon,11-03-2020,46460,701,11,03,2020
Pennsylvania,11-03-2020,220452,8841,11,03,2020
Puerto Rico,11-03-2020,68943,842,11,03,2020
Rhode Island,11-03-2020,34543,1227,11,03,2020
South Carolina,11-03-2020,179952,3968,11,03,2020
South Dakota,11-03-2020,48854,446,11,03,2020
Tennessee,11-03-2020,264751,3454,11,03,2020
Texas,11-03-2020,948626,19167,11,03,2020
Utah,11-03-2020,119375,620,11,03,2020
Vermont,11-03-2020,2237,58,11,03,2020
Virgin Islands,11-03-2020,1385,22,11,03,2020
Virginia,11-03-2020,184679,3666,11,03,2020
Washington,11-03-2020,114127,2368,11,03,2020
West Virginia,11-03-2020,25596,471,11,03,2020
Wisconsin,11-03-2020,251031,2102,11,03,2020
Wyoming,11-03-2020,14621,93,11,03,2020
Alabama,11-02-2020,195692,2973,11,02,2020
Alaska,11-02-2020,17063,86,11,02,2020
American Samoa,11-02-2020,0,0,11,02,2020
Arizona,11-02-2020,248139,5982,11,02,2020
Arkansas,11-02-2020,113641,1985,11,02,2020
California,11-02-2020,948973,17671,11,02,2020
Colorado,11-02-2020,132236,2671,11,02,2020
Connecticut,11-02-2020,73858,4627,11,02,2020
Delaware,11-02-2020,25311,740,11,02,2020
Diamond Princess,11-02-2020,49,0,11,02,2020
District of Columbia,11-02-2020,17438,647,11,02,2020
Florida,11-02-2020,812063,16834,11,02,2020
Georgia,11-02-2020,362921,7999,11,02,2020
Grand Princess,11-02-2020,103,3,11,02,2020
Guam,11-02-2020,4628,79,11,02,2020
Hawaii,11-02-2020,15231,219,11,02,2020
Idaho,11-02-2020,65845,632,11,02,2020
Illinois,11-02-2020,429749,10093,11,02,2020
Indiana,11-02-2020,185185,4587,11,02,2020
Iowa,11-02-2020,132516,1756,11,02,2020
Kansas,11-02-2020,90619,1048,11,02,2020
Kentucky,11-02-2020,109670,1492,11,02,2020
Louisiana,11-02-2020,183616,5934,11,02,2020
Maine,11-02-2020,6798,148,11,02,2020
Maryland,11-02-2020,146995,4155,11,02,2020
Massachusetts,11-02-2020,160549,8686,11,02,2020
Michigan,11-02-2020,204326,7716,11,02,2020
Minnesota,11-02-2020,153620,2538,11,02,2020
Mississippi,11-02-2020,120865,3348,11,02,2020
Missouri,11-02-2020,198802,3061,11,02,2020
Montana,11-02-2020,34252,386,11,02,2020
Nebraska,11-02-2020,72620,656,11,02,2020
Nevada,11-02-2020,102114,1784,11,02,2020
New Hampshire,11-02-2020,11288,483,11,02,2020
New Jersey,11-02-2020,254211,16357,11,02,2020
New Mexico,11-02-2020,48104,1036,11,02,2020
New York,11-02-2020,515753,33593,11,02,2020
North Carolina,11-02-2020,278028,4390,11,02,2020
North Dakota,11-02-2020,47431,540,11,02,2020
Northern Mariana Islands,11-02-2020,96,2,11,02,2020
Ohio,11-02-2020,221909,5426,11,02,2020
Oklahoma,11-02-2020,125195,1354,11,02,2020
Oregon,11-02-2020,45978,692,11,02,2020
Pennsylvania,11-02-2020,217498,8811,11,02,2020
Puerto Rico,11-02-2020,68172,839,11,02,2020
Rhode Island,11-02-2020,34120,1226,11,02,2020
South Carolina,11-02-2020,178917,3946,11,02,2020
South Dakota,11-02-2020,47850,438,11,02,2020
Tennessee,11-02-2020,261752,3379,11,02,2020
Texas,11-02-2020,943106,19064,11,02,2020
Utah,11-02-2020,117706,614,11,02,2020
Vermont,11-02-2020,2219,58,11,02,2020
Virgin Islands,11-02-2020,1376,21,11,02,2020
Virginia,11-02-2020,183418,3658,11,02,2020
Washington,11-02-2020,112593,2358,11,02,2020
West Virginia,11-02-2020,25238,461,11,02,2020
Wisconsin,11-02-2020,244927,2050,11,02,2020
