Province_State,Old_Date,Confirmed,Deaths,Month,Day,Year,Date
Alabama,07-04-2021,551298,11358,07,04,2021,2021-07-04
Alaska,07-04-2021,71384,377,07,04,2021,2021-07-04
Arizona,07-04-2021,896960,17979,07,04,2021,2021-07-04
Arkansas,07-04-2021,350579,5913,07,04,2021,2021-07-04
California,07-04-2021,3886804,63187,07,04,2021,2021-07-04
Colorado,07-04-2021,564540,6896,07,04,2021,2021-07-04
Connecticut,07-04-2021,349476,8279,07,04,2021,2021-07-04
Delaware,07-04-2021,109875,1695,07,04,2021,2021-07-04
Diamond Princess,07-04-2021,49,0,07,04,2021,2021-07-04
District of Columbia,07-04-2021,49378,1141,07,04,2021,2021-07-04
Florida,07-04-2021,2381148,37985,07,04,2021,2021-07-04
Georgia,07-04-2021,1135526,21443,07,04,2021,2021-07-04
Grand Princess,07-04-2021,103,3,07,04,2021,2021-07-04
Guam,07-04-2021,8373,140,07,04,2021,2021-07-04
Hawaii,07-04-2021,37995,518,07,04,2021,2021-07-04
Idaho,07-04-2021,195172,2158,07,04,2021,2021-07-04
Illinois,07-04-2021,1392554,25696,07,04,2021,2021-07-04
Indiana,07-04-2021,754724,13863,07,04,2021,2021-07-04
Iowa,07-04-2021,374180,6146,07,04,2021,2021-07-04
Kansas,07-04-2021,319127,5158,07,04,2021,2021-07-04
Kentucky,07-04-2021,465752,7240,07,04,2021,2021-07-04
Louisiana,07-04-2021,482560,10757,07,04,2021,2021-07-04
Maine,07-04-2021,69121,860,07,04,2021,2021-07-04
Maryland,07-04-2021,462596,9749,07,04,2021,2021-07-04
Massachusetts,07-04-2021,710138,14509,07,04,2021,2021-07-04
Michigan,07-04-2021,1000375,21009,07,04,2021,2021-07-04
Minnesota,07-04-2021,605660,7703,07,04,2021,2021-07-04
Mississippi,07-04-2021,322186,7419,07,04,2021,2021-07-04
Missouri,07-04-2021,629742,9758,07,04,2021,2021-07-04
Montana,07-04-2021,113873,1666,07,04,2021,2021-07-04
Nebraska,07-04-2021,224682,2261,07,04,2021,2021-07-04
Nevada,07-04-2021,334763,5697,07,04,2021,2021-07-04
New Hampshire,07-04-2021,99555,1372,07,04,2021,2021-07-04
New Jersey,07-04-2021,1024225,26473,07,04,2021,2021-07-04
New Mexico,07-04-2021,205715,4344,07,04,2021,2021-07-04
New York,07-04-2021,2116516,53492,07,04,2021,2021-07-04
North Carolina,07-04-2021,1014359,13434,07,04,2021,2021-07-04
