Province_State,Old_Date,Confirmed,Deaths,Month,Day,Year,Date
Alabama,01-21-2022,1120881,16824,01,21,2022,2022-01-21
Alaska,01-21-2022,195345,1051,01,21,2022,2022-01-21
American Samoa,01-21-2022,18,0,01,21,2022,2022-01-21
Arizona,01-21-2022,1701949,25502,01,21,2022,2022-01-21
Arkansas,01-21-2022,726716,9484,01,21,2022,2022-01-21
California,01-21-2022,7643131,78398,01,21,2022,2022-01-21
Colorado,01-21-2022,1312046,11744,01,21,2022,2022-01-21
Connecticut,01-21-2022,671674,9769,01,21,2022,2022-01-21
Delaware,01-21-2022,236022,2457,01,21,2022,2022-01-21
Diamond Princess,01-21-2022,49,0,01,21,2022,2022-01-21
District of Columbia,01-21-2022,127200,1267,01,21,2022,2022-01-21
Florida,01-21-2022,5323337,63763,01,21,2022,2022-01-21
Georgia,01-21-2022,2229675,32294,01,21,2022,2022-01-21
Grand Princess,01-21-2022,103,3,01,21,2022,2022-01-21
Guam,01-21-2022,26851,276,01,21,2022,2022-01-21
Hawaii,01-21-2022,195151,1137,01,21,2022,2022-01-21
Idaho,01-21-2022,356112,4323,01,21,2022,2022-01-21
Illinois,01-21-2022,2773401,33415,01,21,2022,2022-01-21
Indiana,01-21-2022,1524527,20751,01,21,2022,2022-01-21
Iowa,01-21-2022,669705,8317,01,21,2022,2022-01-21
Kansas,01-21-2022,679905,7320,01,21,2022,2022-01-21
Kentucky,01-21-2022,1056284,12687,01,21,2022,2022-01-21
Louisiana,01-21-2022,1060022,15324,01,21,2022,2022-01-21
Maine,01-21-2022,165691,1693,01,21,2022,2022-01-21
Maryland,01-21-2022,947784,13022,01,21,2022,2022-01-21
Massachusetts,01-21-2022,1535901,17819,01,21,2022,2022-01-21
Michigan,01-21-2022,2124186,31499,01,21,2022,2022-01-21
Minnesota,01-21-2022,1216734,11291,01,21,2022,2022-01-21
Mississippi,01-21-2022,681382,10721,01,21,2022,2022-01-21
Missouri,01-21-2022,1255363,17241,01,21,2022,2022-01-21
Montana,01-21-2022,222093,2976,01,21,2022,2022-01-21
Nebraska,01-21-2022,413056,3569,01,21,2022,2022-01-21
Nevada,01-21-2022,614505,8735,01,21,2022,2022-01-21
New Hampshire,01-21-2022,257795,2135,01,21,2022,2022-01-21
New Jersey,01-21-2022,2049573,30618,01,21,2022,2022-01-21
New Mexico,01-21-2022,437927,6258,01,21,2022,2022-01-21
New York,01-21-2022,4653025,63098,01,21,2022,2022-01-21
North Carolina,01-21-2022,2212752,20193,01,21,2022,2022-01-21
North Dakota,01-21-2022,210540,2114,01,21,2022,2022-01-21
Northern Mariana Islands,01-21-2022,4166,21,01,21,2022,2022-01-21
Ohio,01-21-2022,2480566,35067,01,21,2022,2022-01-21
Oklahoma,01-21-2022,880342,12968,01,21,2022,2022-01-21
Oregon,01-21-2022,570892,5936,01,21,2022,2022-01-21
Pennsylvania,01-21-2022,2542816,39362,01,21,2022,2022-01-21
Puerto Rico,01-21-2022,432935,3631,01,21,2022,2022-01-21
Rhode Island,01-21-2022,327109,3240,01,21,2022,2022-01-21
South Carolina,01-21-2022,1265710,15108,01,21,2022,2022-01-21
South Dakota,01-21-2022,216656,2601,01,21,2022,2022-01-21
Tennessee,01-21-2022,1750578,22030,01,21,2022,2022-01-21
Texas,01-21-2022,5821021,77833,01,21,2022,2022-01-21
Utah,01-21-2022,825989,4030,01,21,2022,2022-01-21
Vermont,01-21-2022,96415,514,01,21,2022,2022-01-21
Virgin Islands,01-21-2022,14301,95,01,21,2022,2022-01-21
Virginia,01-21-2022,1451713,15852,01,21,2022,2022-01-21
Washington,01-21-2022,1152026,10401,01,21,2022,2022-01-21
West Virginia,01-21-2022,407131,5609,01,21,2022,2022-01-21
Wisconsin,01-21-2022,1446207,11946,01,21,2022,2022-01-21
Wyoming,01-21-2022,135369,1601,01,21,2022,2022-01-21
Alabama,01-20-2022,1104356,16792,01,20,2022,2022-01-20
Alaska,01-20-2022,188812,1051,01,20,2022,2022-01-20
American Samoa,01-20-2022,18,0,01,20,2022,2022-01-20
Arizona,01-20-2022,1683915,25429,01,20,2022,2022-01-20
Arkansas,01-20-2022,713643,9470,01,20,2022,2022-01-20
California,01-20-2022,7564994,78225,01,20,2022,2022-01-20
Colorado,01-20-2022,1301903,11711,01,20,2022,2022-01-20
Connecticut,01-20-2022,667230,9683,01,20,2022,2022-01-20
Delaware,01-20-2022,233843,2450,01,20,2022,2022-01-20
Diamond Princess,01-20-2022,49,0,01,20,2022,2022-01-20
District of Columbia,01-20-2022,126187,1263,01,20,2022,2022-01-20
Florida,01-20-2022,5242386,63569,01,20,2022,2022-01-20
Georgia,01-20-2022,2211004,32206,01,20,2022,2022-01-20
Grand Princess,01-20-2022,103,3,01,20,2022,2022-01-20
Guam,01-20-2022,25757,276,01,20,2022,2022-01-20
Hawaii,01-20-2022,190678,1135,01,20,2022,2022-01-20
Idaho,01-20-2022,352411,4317,01,20,2022,2022-01-20
Illinois,01-20-2022,2732731,33250,01,20,2022,2022-01-20
Indiana,01-20-2022,1506866,20637,01,20,2022,2022-01-20
Iowa,01-20-2022,669705,8317,01,20,2022,2022-01-20
Kansas,01-20-2022,660627,7293,01,20,2022,2022-01-20
Kentucky,01-20-2022,1040420,12659,01,20,2022,2022-01-20
Louisiana,01-20-2022,1050080,15283,01,20,2022,2022-01-20
Maine,01-20-2022,164324,1691,01,20,2022,2022-01-20
Maryland,01-20-2022,942772,12943,01,20,2022,2022-01-20
Massachusetts,01-20-2022,1519783,17724,01,20,2022,2022-01-20
Michigan,01-20-2022,2082983,31275,01,20,2022,2022-01-20
Minnesota,01-20-2022,1204929,11255,01,20,2022,2022-01-20
Mississippi,01-20-2022,673873,10707,01,20,2022,2022-01-20
Missouri,01-20-2022,1240160,17025,01,20,2022,2022-01-20
Montana,01-20-2022,220090,2966,01,20,2022,2022-01-20
Nebraska,01-20-2022,407804,3562,01,20,2022,2022-01-20
Nevada,01-20-2022,607857,8708,01,20,2022,2022-01-20
New Hampshire,01-20-2022,254715,2123,01,20,2022,2022-01-20
New Jersey,01-20-2022,2037690,30476,01,20,2022,2022-01-20
New Mexico,01-20-2022,431887,6229,01,20,2022,2022-01-20
New York,01-20-2022,4624257,62873,01,20,2022,2022-01-20
North Carolina,01-20-2022,2177357,20108,01,20,2022,2022-01-20
North Dakota,01-20-2022,208028,2107,01,20,2022,2022-01-20
Northern Mariana Islands,01-20-2022,4119,21,01,20,2022,2022-01-20
Ohio,01-20-2022,2460869,34928,01,20,2022,2022-01-20
Oklahoma,01-20-2022,866403,12927,01,20,2022,2022-01-20
Oregon,01-20-2022,559960,5916,01,20,2022,2022-01-20
Pennsylvania,01-20-2022,2523956,39093,01,20,2022,2022-01-20
Puerto Rico,01-20-2022,428009,3593,01,20,2022,2022-01-20
Rhode Island,01-20-2022,324234,3224,01,20,2022,2022-01-20
South Carolina,01-20-2022,1249632,15053,01,20,2022,2022-01-20
South Dakota,01-20-2022,214473,2582,01,20,2022,2022-01-20
Tennessee,01-20-2022,1732533,21912,01,20,2022,2022-01-20
Texas,01-20-2022,5753183,77642,01,20,2022,2022-01-20
Utah,01-20-2022,814388,4019,01,20,2022,2022-01-20
Vermont,01-20-2022,93492,507,01,20,2022,2022-01-20
Virgin Islands,01-20-2022,14158,94,01,20,2022,2022-01-20
Virginia,01-20-2022,1434686,15853,01,20,2022,2022-01-20
Washington,01-20-2022,1135778,10339,01,20,2022,2022-01-20
West Virginia,01-20-2022,401796,5590,01,20,2022,2022-01-20
Wisconsin,01-20-2022,1433225,11867,01,20,2022,2022-01-20
Wyoming,01-20-2022,133495,1601,01,20,2022,2022-01-20
Alabama,02-12-2022,1262018,17571,02,12,2022,2022-02-12
Alaska,02-12-2022,232102,1114,02,12,2022,2022-02-12
American Samoa,02-12-2022,18,0,02,12,2022,2022-02-12
Arizona,02-12-2022,1946086,27164,02,12,2022,2022-02-12
Arkansas,02-12-2022,806076,10025,02,12,2022,2022-02-12
California,02-12-2022,8801199,82454,02,12,2022,2022-02-12
Colorado,02-12-2022,1397447,12261,02,12,2022,2022-02-12
Connecticut,02-12-2022,712884,10260,02,12,2022,2022-02-12
Delaware,02-12-2022,253292,2643,02,12,2022,2022-02-12
Diamond Princess,02-12-2022,49,0,02,12,2022,2022-02-12
District of Columbia,02-12-2022,132820,1309,02,12,2022,2022-02-12
Florida,02-12-2022,5776333,67572,02,12,2022,2022-02-12
Georgia,02-12-2022,2434131,34076,02,12,2022,2022-02-12
Grand Princess,02-12-2022,103,3,02,12,2022,2022-02-12
Guam,02-12-2022,39640,306,02,12,2022,2022-02-12
Hawaii,02-12-2022,230978,1258,02,12,2022,2022-02-12
Idaho,02-12-2022,403137,4552,02,12,2022,2022-02-12
Illinois,02-12-2022,2987514,35725,02,12,2022,2022-02-12
Indiana,02-12-2022,1664353,22136,02,12,2022,2022-02-12
Iowa,02-12-2022,739566,8829,02,12,2022,2022-02-12
Kansas,02-12-2022,749022,7720,02,12,2022,2022-02-12
Kentucky,02-12-2022,1232297,13300,02,12,2022,2022-02-12
Louisiana,02-12-2022,1210398,16176,02,12,2022,2022-02-12
Maine,02-12-2022,187697,1828,02,12,2022,2022-02-12
Maryland,02-12-2022,992510,13905,02,12,2022,2022-02-12
Massachusetts,02-12-2022,1648656,19106,02,12,2022,2022-02-12
Michigan,02-12-2022,2324854,33463,02,12,2022,2022-02-12
Minnesota,02-12-2022,1388401,11957,02,12,2022,2022-02-12
Mississippi,02-12-2022,776717,11558,02,12,2022,2022-02-12
Missouri,02-12-2022,1379156,18217,02,12,2022,2022-02-12
Montana,02-12-2022,256630,3067,02,12,2022,2022-02-12
Nebraska,02-12-2022,450661,3815,02,12,2022,2022-02-12
Nevada,02-12-2022,673322,9334,02,12,2022,2022-02-12
New Hampshire,02-12-2022,288191,2294,02,12,2022,2022-02-12
New Jersey,02-12-2022,2144050,32374,02,12,2022,2022-02-12
New Mexico,02-12-2022,500516,6658,02,12,2022,2022-02-12
New York,02-12-2022,4881825,66431,02,12,2022,2022-02-12
North Carolina,02-12-2022,2525734,21665,02,12,2022,2022-02-12
North Dakota,02-12-2022,234574,2201,02,12,2022,2022-02-12
Northern Mariana Islands,02-12-2022,7353,23,02,12,2022,2022-02-12
Ohio,02-12-2022,2630846,37310,02,12,2022,2022-02-12
Oklahoma,02-12-2022,1006846,13847,02,12,2022,2022-02-12
Oregon,02-12-2022,674500,6355,02,12,2022,2022-02-12
Pennsylvania,02-12-2022,2722395,42203,02,12,2022,2022-02-12
Puerto Rico,02-12-2022,468605,4025,02,12,2022,2022-02-12
Rhode Island,02-12-2022,351844,3376,02,12,2022,2022-02-12
South Carolina,02-12-2022,1431067,16136,02,12,2022,2022-02-12
South Dakota,02-12-2022,232725,2730,02,12,2022,2022-02-12
Tennessee,02-12-2022,1969905,23275,02,12,2022,2022-02-12
Texas,02-12-2022,6484255,81998,02,12,2022,2022-02-12
Utah,02-12-2022,910900,4261,02,12,2022,2022-02-12
Vermont,02-12-2022,108969,566,02,12,2022,2022-02-12
Virgin Islands,02-12-2022,15182,105,02,12,2022,2022-02-12
Virginia,02-12-2022,1602677,17482,02,12,2022,2022-02-12
Washington,02-12-2022,1410596,11316,02,12,2022,2022-02-12
West Virginia,02-12-2022,474712,5992,02,12,2022,2022-02-12
Wisconsin,02-12-2022,1553551,12877,02,12,2022,2022-02-12
Wyoming,02-12-2022,152581,1667,02,12,2022,2022-02-12
Alabama,02-13-2022,1263072,17571,02,13,2022,2022-02-13
Alaska,02-13-2022,232102,1114,02,13,2022,2022-02-13
American Samoa,02-13-2022,18,0,02,13,2022,2022-02-13
Arizona,02-13-2022,1950483,27180,02,13,2022,2022-02-13
Arkansas,02-13-2022,806877,10065,02,13,2022,2022-02-13
California,02-13-2022,8830551,82515,02,13,2022,2022-02-13
Colorado,02-13-2022,1398195,12270,02,13,2022,2022-02-13
Connecticut,02-13-2022,712884,10260,02,13,2022,2022-02-13
Delaware,02-13-2022,253534,2643,02,13,2022,2022-02-13
Diamond Princess,02-13-2022,49,0,02,13,2022,2022-02-13
District of Columbia,02-13-2022,132820,1309,02,13,2022,2022-02-13
Florida,02-13-2022,5776333,67572,02,13,2022,2022-02-13
Georgia,02-13-2022,2434131,34076,02,13,2022,2022-02-13
Grand Princess,02-13-2022,103,3,02,13,2022,2022-02-13
Guam,02-13-2022,39985,306,02,13,2022,2022-02-13
Hawaii,02-13-2022,231510,1262,02,13,2022,2022-02-13
Idaho,02-13-2022,403137,4552,02,13,2022,2022-02-13
Illinois,02-13-2022,2987514,35725,02,13,2022,2022-02-13
Indiana,02-13-2022,1664353,22136,02,13,2022,2022-02-13
Iowa,02-13-2022,739566,8829,02,13,2022,2022-02-13
Kansas,02-13-2022,749022,7720,02,13,2022,2022-02-13
Kentucky,02-13-2022,1232297,13300,02,13,2022,2022-02-13
Louisiana,02-13-2022,1210398,16176,02,13,2022,2022-02-13
Maine,02-13-2022,187697,1828,02,13,2022,2022-02-13
Maryland,02-13-2022,993228,13917,02,13,2022,2022-02-13
Massachusetts,02-13-2022,1648656,19106,02,13,2022,2022-02-13
Michigan,02-13-2022,2324854,33463,02,13,2022,2022-02-13
Minnesota,02-13-2022,1388401,11957,02,13,2022,2022-02-13
Mississippi,02-13-2022,776717,11558,02,13,2022,2022-02-13
Missouri,02-13-2022,1379156,18217,02,13,2022,2022-02-13
Montana,02-13-2022,256630,3067,02,13,2022,2022-02-13
Nebraska,02-13-2022,450661,3815,02,13,2022,2022-02-13
Nevada,02-13-2022,673322,9334,02,13,2022,2022-02-13
New Hampshire,02-13-2022,288191,2294,02,13,2022,2022-02-13
New Jersey,02-13-2022,2145147,32380,02,13,2022,2022-02-13
New Mexico,02-13-2022,500516,6658,02,13,2022,2022-02-13
New York,02-13-2022,4886180,66523,02,13,2022,2022-02-13
North Carolina,02-13-2022,2525734,21665,02,13,2022,2022-02-13
North Dakota,02-13-2022,234685,2201,02,13,2022,2022-02-13
Northern Mariana Islands,02-13-2022,7530,23,02,13,2022,2022-02-13
Ohio,02-13-2022,2632336,37376,02,13,2022,2022-02-13
Oklahoma,02-13-2022,1006846,13847,02,13,2022,2022-02-13
Oregon,02-13-2022,674500,6355,02,13,2022,2022-02-13
Pennsylvania,02-13-2022,2724802,42203,02,13,2022,2022-02-13
Puerto Rico,02-13-2022,469285,4030,02,13,2022,2022-02-13
Rhode Island,02-13-2022,351844,3376,02,13,2022,2022-02-13
South Carolina,02-13-2022,1431067,16136,02,13,2022,2022-02-13
South Dakota,02-13-2022,232725,2730,02,13,2022,2022-02-13
Tennessee,02-13-2022,1971227,23336,02,13,2022,2022-02-13
Texas,02-13-2022,6492275,82210,02,13,2022,2022-02-13
Utah,02-13-2022,910900,4261,02,13,2022,2022-02-13
Vermont,02-13-2022,108969,566,02,13,2022,2022-02-13
Virgin Islands,02-13-2022,15182,105,02,13,2022,2022-02-13
Virginia,02-13-2022,1602677,17482,02,13,2022,2022-02-13
Washington,02-13-2022,1410596,11316,02,13,2022,2022-02-13
West Virginia,02-13-2022,476060,5992,02,13,2022,2022-02-13
Wisconsin,02-13-2022,1553551,12877,02,13,2022,2022-02-13
Wyoming,02-13-2022,152581,1667,02,13,2022,2022-02-13
Alabama,11-09-2022,1534287,20558,11,09,2022,2022-11-09
Alaska,11-09-2022,298651,1413,11,09,2022,2022-11-09
American Samoa,11-09-2022,8257,34,11,09,2022,2022-11-09
Arizona,11-09-2022,2300375,31613,11,09,2022,2022-11-09
Arkansas,11-09-2022,962764,12523,11,09,2022,2022-11-09
California,11-09-2022,11415529,96939,11,09,2022,2022-11-09
Colorado,11-09-2022,1683848,13473,11,09,2022,2022-11-09
Connecticut,11-09-2022,916657,11527,11,09,2022,2022-11-09
Delaware,11-09-2022,314553,3148,11,09,2022,2022-11-09
Diamond Princess,11-09-2022,49,0,11,09,2022,2022-11-09
District of Columbia,11-09-2022,170041,1397,11,09,2022,2022-11-09
Florida,11-09-2022,7215992,82541,11,09,2022,2022-11-09
Georgia,11-09-2022,2929434,40803,11,09,2022,2022-11-09
Grand Princess,11-09-2022,103,3,11,09,2022,2022-11-09
Guam,11-09-2022,58939,404,11,09,2022,2022-11-09
Hawaii,11-09-2022,364122,1716,11,09,2022,2022-11-09
Idaho,11-09-2022,502105,5237,11,09,2022,2022-11-09
Illinois,11-09-2022,3832738,40083,11,09,2022,2022-11-09
Indiana,11-09-2022,1948019,24950,11,09,2022,2022-11-09
Iowa,11-09-2022,866615,10229,11,09,2022,2022-11-09
Kansas,11-09-2022,892326,9626,11,09,2022,2022-11-09
Kentucky,11-09-2022,1620429,17363,11,09,2022,2022-11-09
Louisiana,11-09-2022,1465700,18217,11,09,2022,2022-11-09
Maine,11-09-2022,299138,2711,11,09,2022,2022-11-09
Maryland,11-09-2022,1275208,15603,11,09,2022,2022-11-09
Massachusetts,11-09-2022,2092838,22106,11,09,2022,2022-11-09
Michigan,11-09-2022,2907819,39574,11,09,2022,2022-11-09
Minnesota,11-09-2022,1691086,13873,11,09,2022,2022-11-09
Mississippi,11-09-2022,935770,13005,11,09,2022,2022-11-09
Missouri,11-09-2022,1684433,21937,11,09,2022,2022-11-09
Montana,11-09-2022,315421,3577,11,09,2022,2022-11-09
Nebraska,11-09-2022,535394,4562,11,09,2022,2022-11-09
Nevada,11-09-2022,857473,11580,11,09,2022,2022-11-09
New Hampshire,11-09-2022,358814,2782,11,09,2022,2022-11-09
New Jersey,11-09-2022,2813645,34958,11,09,2022,2022-11-09
New Mexico,11-09-2022,633631,8675,11,09,2022,2022-11-09
New York,11-09-2022,6291836,73417,11,09,2022,2022-11-09
North Carolina,11-09-2022,3255506,27258,11,09,2022,2022-11-09
North Dakota,11-09-2022,274590,2232,11,09,2022,2022-11-09
Northern Mariana Islands,11-09-2022,13212,41,11,09,2022,2022-11-09
Ohio,11-09-2022,3197300,40523,11,09,2022,2022-11-09
Oklahoma,11-09-2022,1211210,17138,11,09,2022,2022-11-09
Oregon,11-09-2022,910693,8726,11,09,2022,2022-11-09
Pennsylvania,11-09-2022,3330062,47994,11,09,2022,2022-11-09
Puerto Rico,11-09-2022,990366,5285,11,09,2022,2022-11-09
Rhode Island,11-09-2022,433348,3705,11,09,2022,2022-11-09
South Carolina,11-09-2022,1729333,18660,11,09,2022,2022-11-09
South Dakota,11-09-2022,265890,3078,11,09,2022,2022-11-09
Tennessee,11-09-2022,2375764,28230,11,09,2022,2022-11-09
Texas,11-09-2022,8038337,91031,11,09,2022,2022-11-09
Utah,11-09-2022,1047882,5065,11,09,2022,2022-11-09
Vermont,11-09-2022,145838,763,11,09,2022,2022-11-09
Virgin Islands,11-09-2022,23435,124,11,09,2022,2022-11-09
Virginia,11-09-2022,2129506,22231,11,09,2022,2022-11-09
Washington,11-09-2022,1843908,14653,11,09,2022,2022-11-09
West Virginia,11-09-2022,610432,7538,11,09,2022,2022-11-09
Wisconsin,11-09-2022,1907232,15511,11,09,2022,2022-11-09
Wyoming,11-09-2022,179366,1917,11,09,2022,2022-11-09
Alabama,11-08-2022,1534287,20558,11,08,2022,2022-11-08
Alaska,11-08-2022,298651,1413,11,08,2022,2022-11-08
American Samoa,11-08-2022,8257,34,11,08,2022,2022-11-08
Arizona,11-08-2022,2293015,31573,11,08,2022,2022-11-08
Arkansas,11-08-2022,962329,12522,11,08,2022,2022-11-08
California,11-08-2022,11412432,96917,11,08,2022,2022-11-08
Colorado,11-08-2022,1682518,13465,11,08,2022,2022-11-08
Connecticut,11-08-2022,916172,11478,11,08,2022,2022-11-08
Delaware,11-08-2022,314303,3147,11,08,2022,2022-11-08
Diamond Princess,11-08-2022,49,0,11,08,2022,2022-11-08
District of Columbia,11-08-2022,170041,1397,11,08,2022,2022-11-08
Florida,11-08-2022,7215992,82541,11,08,2022,2022-11-08
Georgia,11-08-2022,2924732,40696,11,08,2022,2022-11-08
Grand Princess,11-08-2022,103,3,11,08,2022,2022-11-08
Guam,11-08-2022,58939,404,11,08,2022,2022-11-08
Hawaii,11-08-2022,362834,1711,11,08,2022,2022-11-08
Idaho,11-08-2022,500884,5225,11,08,2022,2022-11-08
Illinois,11-08-2022,3828639,40064,11,08,2022,2022-11-08
Indiana,11-08-2022,1942708,24950,11,08,2022,2022-11-08
Iowa,11-08-2022,864752,10207,11,08,2022,2022-11-08
Kansas,11-08-2022,889746,9620,11,08,2022,2022-11-08
Kentucky,11-08-2022,1620429,17363,11,08,2022,2022-11-08
Louisiana,11-08-2022,1463379,18193,11,08,2022,2022-11-08
Maine,11-08-2022,298906,2698,11,08,2022,2022-11-08
Maryland,11-08-2022,1273447,15593,11,08,2022,2022-11-08
Massachusetts,11-08-2022,2092838,22106,11,08,2022,2022-11-08
Michigan,11-08-2022,2897827,39406,11,08,2022,2022-11-08
Minnesota,11-08-2022,1691086,13873,11,08,2022,2022-11-08
Mississippi,11-08-2022,934401,12992,11,08,2022,2022-11-08
Missouri,11-08-2022,1684306,21933,11,08,2022,2022-11-08
Montana,11-08-2022,315421,3577,11,08,2022,2022-11-08
Nebraska,11-08-2022,535394,4562,11,08,2022,2022-11-08
Nevada,11-08-2022,854700,11570,11,08,2022,2022-11-08
New Hampshire,11-08-2022,358581,2776,11,08,2022,2022-11-08
New Jersey,11-08-2022,2811812,34952,11,08,2022,2022-11-08
New Mexico,11-08-2022,632738,8673,11,08,2022,2022-11-08
New York,11-08-2022,6285250,73369,11,08,2022,2022-11-08
North Carolina,11-08-2022,3246175,27234,11,08,2022,2022-11-08
North Dakota,11-08-2022,274405,2232,11,08,2022,2022-11-08
Northern Mariana Islands,11-08-2022,13212,41,11,08,2022,2022-11-08
Ohio,11-08-2022,3197300,40508,11,08,2022,2022-11-08
Oklahoma,11-08-2022,1211210,17138,11,08,2022,2022-11-08
Oregon,11-08-2022,910693,8726,11,08,2022,2022-11-08
Pennsylvania,11-08-2022,3318490,47840,11,08,2022,2022-11-08
Puerto Rico,11-08-2022,989463,5280,11,08,2022,2022-11-08
Rhode Island,11-08-2022,433348,3705,11,08,2022,2022-11-08
South Carolina,11-08-2022,1729333,18660,11,08,2022,2022-11-08
South Dakota,11-08-2022,265019,3065,11,08,2022,2022-11-08
Tennessee,11-08-2022,2374607,28212,11,08,2022,2022-11-08
Texas,11-08-2022,8034741,91017,11,08,2022,2022-11-08
Utah,11-08-2022,1047882,5065,11,08,2022,2022-11-08
Vermont,11-08-2022,145409,754,11,08,2022,2022-11-08
Virgin Islands,11-08-2022,23413,124,11,08,2022,2022-11-08
Virginia,11-08-2022,2128552,22231,11,08,2022,2022-11-08
Washington,11-08-2022,1839317,14597,11,08,2022,2022-11-08
West Virginia,11-08-2022,609944,7536,11,08,2022,2022-11-08
Wisconsin,11-08-2022,1906147,15509,11,08,2022,2022-11-08
Wyoming,11-08-2022,179366,1917,11,08,2022,2022-11-08
Alabama,05-01-2022,1300733,19567,05,01,2022,2022-05-01
Alaska,05-01-2022,253002,1252,05,01,2022,2022-05-01
American Samoa,05-01-2022,5822,26,05,01,2022,2022-05-01
Arizona,05-01-2022,2021524,29951,05,01,2022,2022-05-01
Arkansas,05-01-2022,835916,11392,05,01,2022,2022-05-01
California,05-01-2022,9233795,90147,05,01,2022,2022-05-01
Colorado,05-01-2022,1439577,12532,05,01,2022,2022-05-01
Connecticut,05-01-2022,758281,10850,05,01,2022,2022-05-01
Delaware,05-01-2022,262461,2907,05,01,2022,2022-05-01
Diamond Princess,05-01-2022,49,0,05,01,2022,2022-05-01
District of Columbia,05-01-2022,141943,1340,05,01,2022,2022-05-01
Florida,05-01-2022,5942723,73948,05,01,2022,2022-05-01
Georgia,05-01-2022,2515139,37806,05,01,2022,2022-05-01
Grand Princess,05-01-2022,103,3,05,01,2022,2022-05-01
Guam,05-01-2022,48142,354,05,01,2022,2022-05-01
Hawaii,05-01-2022,248405,1418,05,01,2022,2022-05-01
Idaho,05-01-2022,446040,4927,05,01,2022,2022-05-01
Illinois,05-01-2022,3138692,37898,05,01,2022,2022-05-01
Indiana,05-01-2022,1702292,23587,05,01,2022,2022-05-01
Iowa,05-01-2022,763782,9529,05,01,2022,2022-05-01
Kansas,05-01-2022,776077,8635,05,01,2022,2022-05-01
Kentucky,05-01-2022,1328111,15523,05,01,2022,2022-05-01
Louisiana,05-01-2022,1238011,17248,05,01,2022,2022-05-01
Maine,05-01-2022,245080,2286,05,01,2022,2022-05-01
Maryland,05-01-2022,1031533,14456,05,01,2022,2022-05-01
Massachusetts,05-01-2022,1757103,20263,05,01,2022,2022-05-01
Michigan,05-01-2022,2425946,36002,05,01,2022,2022-05-01
Minnesota,05-01-2022,1452547,12778,05,01,2022,2022-05-01
Mississippi,05-01-2022,797575,12444,05,01,2022,2022-05-01
Missouri,05-01-2022,1431297,20516,05,01,2022,2022-05-01
Montana,05-01-2022,273982,3360,05,01,2022,2022-05-01
Nebraska,05-01-2022,479989,4197,05,01,2022,2022-05-01
