Province_State,Lat,Long_,Confirmed,Deaths
Alabama,32.3182,-86.9023,1120881,16824
Alaska,61.3707,-152.4044,195345,1051
American Samoa,-14.271,-170.132,18,0
Arizona,33.7298,-111.4312,1701949,25502
Arkansas,34.9697,-92.3731,726716,9484
California,36.1162,-119.6816,7643131,78398
Colorado,39.0598,-105.3111,1312046,11744
Connecticut,41.5978,-72.7554,671674,9769
Delaware,39.3185,-75.5071,236022,2457
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,127200,1267
Florida,27.7663,-81.6868,5323337,63763
Georgia,33.0406,-83.6431,2229675,32294
Grand Princess,,,103,3
Guam,13.4443,144.7937,26851,276
Hawaii,21.0943,-157.4983,195151,1137
Idaho,44.2405,-114.4788,356112,4323
Illinois,40.3495,-88.9861,2773401,33415
Indiana,39.8494,-86.2583,1524527,20751
Iowa,42.0115,-93.2105,669705,8317
Kansas,38.5266,-96.7265,679905,7320
Kentucky,37.6681,-84.6701,1056284,12687
Louisiana,31.1695,-91.8678,1060022,15324
Maine,44.6939,-69.3819,165691,1693
Maryland,39.0639,-76.8021,947784,13022
Massachusetts,42.2302,-71.5301,1535901,17819
Michigan,43.3266,-84.5361,2124186,31499
Minnesota,45.6945,-93.9002,1216734,11291
Mississippi,32.7416,-89.6787,681382,10721
Missouri,38.4561,-92.2884,1255363,17241
Montana,46.9219,-110.4544,222093,2976
Nebraska,41.1254,-98.2681,413056,3569
Nevada,38.3135,-117.0554,614505,8735
New Hampshire,43.4525,-71.5639,257795,2135
New Jersey,40.2989,-74.521,2049573,30618
New Mexico,34.8405,-106.2485,437927,6258
New York,42.1657,-74.9481,4653025,63098
North Carolina,35.6301,-79.8064,2212752,20193
North Dakota,47.5289,-99.784,210540,2114
Northern Mariana Islands,15.0979,145.6739,4166,21
Ohio,40.3888,-82.7649,2480566,35067
Oklahoma,35.5653,-96.9289,880342,12968
Oregon,44.572,-122.0709,570892,5936
Pennsylvania,40.5908,-77.2098,2542816,39362
Puerto Rico,18.2208,-66.5901,432935,3631
Rhode Island,41.6809,-71.5118,327109,3240
South Carolina,33.8569,-80.945,1265710,15108
South Dakota,44.2998,-99.4388,216656,2601
Tennessee,35.7478,-86.6923,1750578,22030
Texas,31.0545,-97.5635,5821021,77833
Utah,40.15,-111.8624,825989,4030
